Price,Close,High,Low,Open,Volume,Returns,Z_Score,Date
Ticker,THYAO.IS,THYAO.IS,THYAO.IS,THYAO.IS,THYAO.IS,,,
Date,,,,,,,,
2020-05-27,12.329999923706055,12.329999923706055,11.5600004196167,11.579999923706055,139329364,0.09522907050157511,3.410251513363466,2020-05-27
2020-11-09,10.680000305175781,10.680000305175781,9.779999732971191,9.829999923706055,169754770,0.09521657587469864,3.409793945512543,2020-11-09
2022-10-03,77.6500015258789,77.6500015258789,71.30000305175781,71.5,92281634,0.09518144635924174,3.4085074615662423,2022-10-03
2021-12-24,21.1200008392334,21.1200008392334,19.1200008392334,19.299999237060547,96687219,0.09478956945291914,3.3941564708863847,2021-12-24
2023-06-05,164.5,164.89999389648438,153.60000610351562,154.5,81756532,0.09160879090301553,3.2776726398979377,2023-06-05
2022-10-17,98.44999694824219,98.9000015258789,89.5999984741211,90.4000015258789,94313631,0.08973910375682122,3.2092025096698613,2022-10-17
2023-05-16,135.89999389648438,136.39999389648438,125.5999984741211,125.69999694824219,52593843,0.08841708367429567,3.160788587908189,2023-05-16
2020-12-01,12.479999542236328,12.539999961853027,11.5,11.510000228881836,267644029,0.08701137698962969,3.1093099648896434,2020-12-01
2022-01-03,21.84000015258789,21.8799991607666,19.829999923706055,20.18000030517578,95392160,0.08701136111093676,3.1093093833933354,2022-01-03
2021-11-04,16.969999313354492,16.989999771118164,16.0,16.1299991607666,205042533,0.08545900323813115,3.052460222330251,2021-11-04
2022-03-29,31.639999389648438,31.799999237060547,29.260000228881836,29.3799991607666,233339298,0.08505948384456866,3.037829354828409,2022-03-29
2023-07-03,210.5,211.89999389648438,201.1999969482422,203.5,61090558,0.08317509846455994,2.9688209580858294,2023-07-03
2025-06-24,274.5,275.75,265.0,270.0,60708109,0.08156177222206504,2.9097390640112804,2025-06-24
2023-01-12,135.8000030517578,136.39999389648438,125.0999984741211,129.6999969482422,101228836,0.08047235133940744,2.8698431970152525,2023-01-12
2022-12-05,138.60000610351562,141.0,127.19999694824219,129.60000610351562,108945686,0.07722083538501155,2.7507688795342164,2022-12-05
2022-02-25,27.299999237060547,27.540000915527344,23.920000076293945,25.15999984741211,255281231,0.07687307780414696,2.738033590158095,2022-02-25
2021-12-09,22.0,22.399999618530273,20.420000076293945,20.6200008392334,233237867,0.07648846674300176,2.723948683227343,2021-12-09
2020-11-10,11.489999771118164,11.670000076293945,10.8100004196167,10.880000114440918,492199736,0.07310420983401414,2.6000132367248048,2020-11-10
2023-08-28,256.0,257.0,239.8000030517578,240.0,49130901,0.07290677080808773,2.592782788655029,2023-08-28
2023-05-11,136.3000030517578,138.3000030517578,126.30000305175781,126.30000305175781,58902189,0.0722472950218768,2.5686320139887777,2023-05-11
2020-03-24,8.3100004196167,8.369999885559082,7.96999979019165,8.029999732971191,109673958,0.07105800133240785,2.5250786879881586,2020-03-24
2021-03-02,14.8100004196167,15.069999694824219,13.75,13.8100004196167,365900822,0.07063405062851677,2.509553117325285,2021-03-02
2020-03-13,9.100000381469727,9.319999694824219,8.140000343322754,8.479999542236328,133539818,0.07056405962030846,2.5069899647376594,2020-03-13
2023-08-07,266.8999938964844,269.1000061035156,249.89999389648438,250.0,61178808,0.07022466041137224,2.4945607687181703,2023-08-07
2023-01-16,144.39999389648438,144.39999389648438,134.60000610351562,135.8000030517578,69854606,0.06953712343025323,2.469382360271785,2023-01-16
2020-04-14,10.930000305175781,11.010000228881836,10.430000305175781,10.430000305175781,193362055,0.06912362851864956,2.4542396929524006,2020-04-14
2022-01-13,28.780000686645508,28.940000534057617,26.780000686645508,26.799999237060547,176333677,0.06829824088418011,2.42401303233926,2022-01-13
2022-01-10,26.700000762939453,27.3799991607666,25.020000457763672,25.3799991607666,166191051,0.06819063231512716,2.42007228067302,2022-01-10
