Price,Close,High,Low,Open,Volume,Returns,Z_Score,Date
Ticker,EREGL.IS,EREGL.IS,EREGL.IS,EREGL.IS,EREGL.IS,,,
Date,,,,,,,,
2023-02-15,20.40999984741211,20.40999984741211,19.757986445453614,19.757986445453614,62867492,0.147878121046045,5.813562968685186,2023-02-15
2020-12-08,6.643622875213623,6.643622875213623,6.105217667004561,6.105217667004561,176956442,0.09754320284410822,3.817370124924374,2020-12-08
2022-11-04,16.448522567749023,16.448522567749023,15.658203900694666,16.053363234221845,394646510,0.09506990174475241,3.7192834262395262,2022-11-04
2022-11-07,18.088436126708984,18.088436126708984,16.774530098845176,16.794288537584404,280909714,0.0950371864015199,3.717985994230599,2022-11-07
2022-09-05,15.302559852600098,15.302559852600098,13.929380435591147,14.008412303816087,521529878,0.09472929658353561,3.7057756346376554,2022-09-05
2020-11-18,5.882940292358398,5.91751661732986,5.3593539239315495,5.3593539239315495,112901428,0.09045213180763426,3.5361509283256947,2020-11-18
2023-02-20,24.361597061157227,24.519660801490524,22.257372340302474,22.405556861331387,477892718,0.08856095411859134,3.461150203103451,2023-02-20
2022-11-10,18.542869567871094,18.858997029681024,16.962230374553144,17.219084408340787,534466548,0.08444765285784636,3.2980240307713475,2022-11-10
2021-12-16,16.596708297729492,16.646104395705564,15.193892089907251,15.401350990735583,177231362,0.08183004942837545,3.1942145597248137,2021-12-16
2023-07-31,20.597700119018555,20.745884632396294,19.14548698881909,19.14548698881909,628702852,0.08088240265692644,3.156632583411862,2023-07-31
2023-10-24,20.6470947265625,20.676732383516452,19.14548735772601,19.194883452649265,283058740,0.07757364678240822,3.0254132423578683,2023-10-24
2022-11-22,20.10375213623047,20.43963806575269,18.79972529656466,18.829361071113492,478257862,0.07656803121350741,2.985532327201499,2022-11-22
2023-05-16,16.142274856567383,16.142274856567383,14.966674151497761,14.966674151497761,224991836,0.07561561207121374,2.9477610871951074,2023-05-16
2022-10-03,15.430987358093262,15.480382512816998,14.334419445470555,14.334419445470555,128211088,0.07509339520180967,2.9270509000162304,2022-10-03
2022-02-07,14.196112632751465,14.205991851727834,12.961238524730625,13.178576631539862,103731008,0.07437565250287406,2.898586508089957,2022-02-07
2025-03-05,23.739999771118164,23.780000686645508,22.260000228881836,22.260000228881836,407354374,0.07430235371626652,2.8956796092906916,2025-03-05
2023-02-16,21.980758666992188,22.17833927388596,20.65697349990153,22.128943180028358,384571254,0.07414249527586682,2.889339909413552,2023-02-16
2021-12-24,14.018290519714355,14.097323329729406,12.714263757545815,13.050149667106604,183310764,0.07307849107209013,2.8471434054123055,2021-12-24
2021-12-07,12.566079139709473,12.684626940577068,11.696727657879592,11.844912173430545,163293506,0.07253689012197438,2.825664480256259,2021-12-07
2023-01-12,19.550527572631836,19.65919521166793,17.98964490796217,18.72069203021408,414801698,0.0717397339778,2.7940506931040305,2023-01-12
2023-08-21,22.227733612060547,22.35615968829661,20.5779417530391,20.686611275886147,575468600,0.07137659034454538,2.779649066005881,2023-08-21
2021-04-26,9.543107032775879,9.577683357337008,8.90097286829557,8.90097286829557,173704778,0.0713247625461881,2.7775936682048226,2021-04-26
2021-12-13,14.166476249694824,14.18623374597605,13.445309263813218,13.45518848302093,106857478,0.07078768389274781,2.7562940892478647,2021-12-13
2022-02-25,15.391470909118652,15.519897930260994,14.64066722034843,14.759215022448856,213118994,0.06908456944520117,2.6887516158766163,2022-02-25
2022-02-23,15.025948524475098,15.342076001806928,14.32453997754445,14.364055912210928,285021440,0.06871118358894994,2.673943800530221,2022-02-23
2021-11-23,11.400358200073242,11.489269290277305,10.708828859346616,10.708828859346616,188535288,0.06812673890001379,2.6507657693084785,2021-11-23
2023-09-25,22.87974739074707,23.25515017589269,21.35838346495814,21.457171886479067,448705028,0.067883244800182,2.641109228740911,2023-09-25
2024-07-03,27.450000762939453,27.674999237060547,25.799999237060547,25.825000762939453,442655566,0.06782263900466183,2.63870571126975,2024-07-03
2023-12-15,20.696491241455078,20.696491241455078,19.28379493054592,19.36282679975847,253935792,0.06711946089060117,2.610818924734293,2023-12-15
2021-07-29,9.878993034362793,9.987661618572474,9.34552744819257,9.34552744819257,127636092,0.06560580219603643,2.5507899277293826,2021-07-29
2022-03-01,16.389249801635742,16.42876479445244,15.539655786989979,15.589050941212161,206495350,0.06538276555355627,2.5419446933370433,2022-03-01
2020-11-10,5.764392375946045,5.808847919221103,5.448264434597811,5.566812707020329,77786558,0.05912620703976037,2.2938207710589777,2020-11-10
2020-03-24,3.8696389198303223,3.884077742571695,3.7300624093253214,3.773379336551339,41902548,0.057597474736367546,2.2331939816835398,2020-03-24
2020-12-22,7.0239644050598145,7.098056666771799,6.742412774206627,6.742412774206627,110162260,0.05715847374040621,2.215783987233441,2020-12-22
2021-03-29,7.216604232788086,7.320333678358913,6.875779180807995,6.875779180807995,93300986,0.05703757384466398,2.2109893135692493,2021-03-29
2023-05-11,15.361834526062012,15.58905091613059,14.531998951293945,14.531998951293945,312567148,0.05553313549540851,2.151325978970892,2023-05-11
2022-05-30,17.15981101989746,17.25859943873969,16.310217051122468,16.47816000112989,155688988,0.05502710949208027,2.1312578925870374,2022-05-30
2022-08-18,14.561635971069336,14.80861080480715,13.712042882179574,13.830590689317619,437380584,0.053652686676595666,2.0767507415559194,2022-08-18
2023-07-03,19.11585235595703,19.11585235595703,18.365048641259882,18.365048641259882,220534000,0.05251799906755087,2.0317510601023367,2023-07-03
2020-12-11,7.00420618057251,7.285757330042865,6.628804333900639,6.653501910588779,179534090,0.052110195976986386,2.0155783187901823,2020-12-11
